product_id,outsourcing_order_id,outsourcing_quantity,quantity_stock_in,delivery_real_
86,1405,3.500000,,
639,1405,14.000000,,
9042,1405,9.000000,,
9043,1405,52.000000,,
7371,1405,5.700000,,
7372,1405,22.000000,,
7373,1405,5.700000,,
7374,1405,22.000000,,
7375,1405,5.700000,,
11453,1405,22.000000,,
9098,1405,17.000000,,
9125,1405,15.000000,,
1065,1405,84.000000,,
1062,1405,24.000000,,
11433,1404,34.000000,,
11378,1404,319.000000,,
11412,1404,25.000000,,
10832,1404,5.700000,,
2337,1404,6.000000,,
11468,1404,2.000000,,
11469,1404,2.000000,,
8356,1403,180.000000,,
8335,1403,180.000000,,
9010,1403,1000.000000,,
6878,1402,1000.000000,,
7247,1401,160.000000,,
8964,1401,210.000000,,
8963,1401,210.000000,,
10620,1400,580.000000,,
10632,1399,580.000000,,
10282,1399,662.000000,,
10281,1399,662.000000,,
11316,1398,100.000000,,
8522,1397,80.000000,,
8376,1397,80.000000,,
11442,1396,560.000000,,
11444,1396,660.000000,,
11446,1396,660.000000,,
659,1395,20.000000,20.0000000000,2022-12-05
616,1395,55.000000,55.0000000000,2022-12-05
11464,1395,52.000000,33.0000000000,2022-12-05
11464,1395,52.000000,19.0000000000,2022-12-05
1238,1395,126.000000,126.0000000000,2022-12-05
11169,1395,35.000000,35.0000000000,2022-12-05
9054,1395,3.500000,3.5000000000,2022-12-05
317,1395,15.000000,15.0000000000,2022-12-05
10884,1395,3.000000,3.0000000000,2022-12-05
659,1394,20.000000,,
616,1394,55.000000,,
11464,1394,52.000000,,
1238,1394,126.000000,,
11169,1394,35.000000,,
9054,1394,3.500000,,
317,1394,15.000000,,
10884,1394,3.000000,,
11130,1393,145.000000,,
10723,1392,240.000000,,
10725,1391,240.000000,,
10727,1390,140.000000,,
10724,1389,250.000000,,
10753,1388,330.000000,,
10709,1388,200.000000,,
10710,1387,200.000000,,
10752,1387,330.000000,,
10265,1386,200.000000,200.0000000000,2022-12-06
10264,1386,200.000000,,
9008,1385,403.000000,,
9901,1384,548.000000,,
8649,1384,265.000000,,
8648,1384,265.000000,,
9901,1383,484.000000,,
8575,1383,245.000000,245.0000000000,2022-12-06
8574,1383,245.000000,5.0000000000,2022-12-27
8574,1383,245.000000,1.0000000000,2022-12-27
8574,1383,245.000000,1.0000000000,2022-12-27
9901,1382,580.000000,,
10186,1382,285.000000,,
10185,1382,585.000000,,
10186,1381,500.000000,,
10185,1381,500.000000,,
10265,1380,200.000000,,
9901,1379,195.000000,,
10265,1379,195.000000,195.0000000000,2022-12-06
10264,1379,195.000000,,
11109,1378,220.000000,,
8714,1377,1800.000000,,
6861,1377,9500.000000,,
7217,1377,1580.000000,,
9882,1377,1805.000000,,
6952,1377,5050.000000,,
9806,1377,3315.000000,,
7293,1377,2900.000000,,
9959,1377,3060.000000,,
7338,1377,2652.000000,,
7723,1377,3315.000000,,
7292,1377,2900.000000,,
9459,1376,5515.000000,5515.0000000000,2022-12-06
9457,1376,5515.000000,,
2275,1375,19.500000,5.5000000000,2022-12-05
2275,1375,19.500000,14.0000000000,2022-12-05
2276,1375,26.000000,26.0000000000,2022-12-05
2171,1375,233.500000,227.7000000000,2022-12-05
105,1375,6.500000,6.5000000000,2022-12-05
1065,1374,27.000000,,
10476,1373,200.000000,,
10724,1373,550.000000,,
10477,1372,200.000000,,
10729,1372,550.000000,,
9126,1371,620.000000,620.0000000000,2022-12-06
8648,1371,620.000000,,
8575,1370,500.000000,500.0000000000,2022-12-06
8574,1370,500.000000,,
9126,1369,435.000000,435.0000000000,2022-12-06
8648,1369,435.000000,,
10186,1368,665.000000,,
10185,1368,665.000000,,
8725,1367,180.000000,,
8724,1367,180.000000,,
8521,1366,80.000000,,
8345,1366,80.000000,,
10615,1365,33.000000,33.0000000000,2022-12-05
10614,1365,38.000000,38.0000000000,2022-12-05
10619,1365,33.000000,33.0000000000,2022-12-05
10618,1365,38.000000,38.0000000000,2022-12-05
11101,1365,8.000000,8.0000000000,2022-12-05
10901,1365,7.000000,7.0000000000,2022-12-05
9502,1365,25.000000,25.0000000000,2022-12-05
9630,1364,55.000000,,
9629,1364,55.000000,,
1066,1363,4.500000,,
1062,1363,1.000000,,
1065,1363,8.000000,5.0000000000,2022-12-05
10941,1362,170.000000,,
10940,1362,170.000000,,
10503,1361,57.000000,57.0000000000,2022-12-01
11138,1360,18.000000,12.0000000000,2022-12-01
11138,1360,18.000000,6.0000000000,2022-12-01
9723,1360,42.000000,28.0000000000,2022-12-01
9723,1360,42.000000,14.0000000000,2022-12-01
11447,1360,57.000000,,
10504,1360,109.000000,46.0000000000,2022-12-01
10504,1360,109.000000,63.0000000000,2022-12-01
10150,1360,25.000000,13.0000000000,2022-12-01
10150,1360,25.000000,12.0000000000,2022-12-01
1310,1360,97.000000,63.0000000000,2022-12-01
1310,1360,97.000000,34.0000000000,2022-12-01
10151,1360,25.000000,25.0000000000,2022-12-01
1287,1360,97.000000,63.0000000000,2022-12-01
1287,1360,97.000000,34.0000000000,2022-12-01
10706,1360,25.000000,13.0000000000,2022-12-01
10706,1360,25.000000,12.0000000000,2022-12-01
10705,1360,25.000000,25.0000000000,2022-12-01
10503,1360,63.000000,32.0000000000,2022-12-01
10503,1360,63.000000,31.0000000000,2022-12-01
10834,1360,63.000000,43.0000000000,2022-12-01
10834,1360,63.000000,10.0000000000,2022-12-01
10834,1360,63.000000,10.0000000000,2022-12-01
11129,1360,8.000000,8.0000000000,2022-12-01
10502,1360,43.000000,43.0000000000,2022-12-01
10831,1360,43.000000,27.0000000000,2022-12-01
10831,1360,43.000000,16.0000000000,2022-12-01
10505,1360,43.000000,43.0000000000,2022-12-01
10833,1360,43.000000,27.0000000000,2022-12-01
10833,1360,43.000000,16.0000000000,2022-12-01
10830,1360,43.000000,43.0000000000,2022-12-01
8662,1360,8.000000,8.0000000000,2022-12-01
1241,1360,20.000000,20.0000000000,2022-12-01
1286,1360,16.000000,16.0000000000,2022-12-01
1236,1360,16.000000,16.0000000000,2022-12-01
1236,1360,16.000000,16.0000000000,2022-12-01
1238,1360,34.000000,68.0000000000,2022-12-01
1261,1360,16.000000,16.0000000000,2022-12-01
1262,1360,34.000000,34.0000000000,2022-12-01
1308,1360,16.000000,8.0000000000,2022-12-01
1308,1360,16.000000,8.0000000000,2022-12-01
1144,1360,4.000000,4.0000000000,2022-12-01
1217,1360,4.000000,4.0000000000,2022-12-01
