name,product_id,outsourcing_order_id,total_quota,quantity_outsourcing_detail,quantity_stock_in
DHGCN-KIDDY-GRAY-AD234,10295,624,125.000000,110.000000,300.0000000000
DHGCN-KIDDY-GRAY-AD234,10295,624,125.000000,280.000000,300.0000000000
DHGCN-KIDDY-GRAY-AD234,10295,624,125.000000,210.000000,300.0000000000
DHGCN-KIDDY-GRAY-AD234,10295,624,125.000000,60.000000,300.0000000000
DHGCN-KIDDY-GRAY-AD234,10294,624,150.000000,125.000000,250.0000000000
DHGCN-KIDDY-GRAY-AD234,10294,624,150.000000,150.000000,250.0000000000
DHGCN-KIDDY-GRAY-AD234,10294,624,150.000000,110.000000,250.0000000000
DHGCN-KIDDY-GRAY-AD234,10294,624,150.000000,280.000000,250.0000000000
DHGCN-KIDDY-GRAY-AD234,10294,624,150.000000,210.000000,250.0000000000
DHGCN-KIDDY-GRAY-AD234,10294,624,150.000000,60.000000,250.0000000000
DHGCN-KIDDY-GRAY-AD234,10290,624,60.000000,125.000000,150.0000000000
DHGCN-KIDDY-GRAY-AD234,10290,624,60.000000,150.000000,150.0000000000
DHGCN-KIDDY-GRAY-AD234,10290,624,60.000000,110.000000,150.0000000000
DHGCN-KIDDY-GRAY-AD234,10290,624,60.000000,280.000000,150.0000000000
DHGCN-KIDDY-GRAY-AD234,10290,624,60.000000,210.000000,150.0000000000
DHGCN-KIDDY-GRAY-AD234,10290,624,60.000000,60.000000,150.0000000000
DHGCN-HM-027-FITTED-228-Gray,10300,630,200.000000,200.000000,80.0000000000
DHGCN-HM-027-FITTED-228-Gray,10300,630,200.000000,200.000000,80.0000000000
DHGCN-HM-027-FITTED-228-Gray,10300,630,200.000000,120.000000,80.0000000000
DHGCN-HM-027-FITTED-228-Gray,10300,630,200.000000,200.000000,200.0000000000
DHGCN-HM-027-FITTED-228-Gray,10300,630,200.000000,200.000000,200.0000000000
DHGCN-HM-027-FITTED-228-Gray,10300,630,200.000000,120.000000,200.0000000000
DHGCN-HM-027-FITTED-228-Gray,10299,630,200.000000,200.000000,90.0000000000
DHGCN-HM-027-FITTED-228-Gray,10299,630,200.000000,200.000000,90.0000000000
DHGCN-HM-027-FITTED-228-Gray,10299,630,200.000000,120.000000,90.0000000000
DHGCN-HM-027-FITTED-228-Gray,10299,630,200.000000,200.000000,120.0000000000
DHGCN-HM-027-FITTED-228-Gray,10299,630,200.000000,200.000000,120.0000000000
DHGCN-HM-027-FITTED-228-Gray,10299,630,200.000000,120.000000,120.0000000000
DHGCN-2709-BT,10328,653,250.000000,350.000000,100.0000000000
DHGCN-2709-BT,10328,653,250.000000,250.000000,100.0000000000
DHGCN-2709-BT,10328,653,250.000000,350.000000,50.0000000000
DHGCN-2709-BT,10328,653,250.000000,250.000000,50.0000000000
DHGCN-2709-BT,10328,653,250.000000,350.000000,50.0000000000
DHGCN-2709-BT,10328,653,250.000000,250.000000,50.0000000000
DHGCN-2709-BT,10328,653,250.000000,350.000000,150.0000000000
DHGCN-2709-BT,10328,653,250.000000,250.000000,150.0000000000
