product_id,material_offset_id,order_id,total_quota,req_mat_offset_status
8162,1,1,37.000000,approval
5284,2,93,255.000000,approval
8347,3,30,569.178000,approval
8347,3,31,50.058000,approval
8410,3,34,154.500000,approval
8347,3,109,309.600000,approval
8428,3,54,64.300000,approval
8428,3,53,62.400000,approval
8428,3,46,186.018000,approval
8458,4,52,64.300000,approval
8428,4,52,63.000000,approval
8458,4,51,63.600000,approval
8347,5,32,65.000000,approval
8422,5,73,159.000000,approval
8350,5,76,158.000000,approval
8349,5,74,63.000000,approval
8347,5,86,15.000000,approval
7584,5,85,101.000000,approval
8522,5,33,65.000000,approval
8458,5,50,253.000000,approval
8347,6,28,62.000000,approval
8347,7,24,124.000000,approval
8347,8,22,124.000000,approval
8347,9,23,124.000000,approval
8347,10,25,62.000000,approval
8347,11,26,62.000000,approval
8347,12,14,252.000000,approval
8356,13,15,126.000000,approval
8416,14,17,63.000000,approval
8418,15,18,63.000000,approval
8422,16,20,63.000000,approval
8350,17,21,252.000000,approval
8414,18,16,63.000000,approval
8422,19,102,62.400000,approval
8596,19,101,62.400000,approval
8559,19,93,160.000000,approval
6199,20,29,151.000000,approval
8431,21,7,32.000000,approval
8431,21,6,63.000000,approval
8431,21,5,32.000000,approval
8428,21,4,32.000000,approval
8428,21,3,63.000000,approval
8428,21,2,32.000000,approval
6605,22,1,45.000000,approval
6606,22,1,45.000000,approval
8611,23,316,330.600000,approval
8642,23,316,631.100000,approval
8163,24,394,2.000000,approval
8164,24,394,2.000000,approval
8165,24,394,2.000000,approval
7554,25,59,506.000000,approval
7554,25,56,2001.000000,approval
4636,26,114,103.000000,approval
102,26,184,1.000000,approval
1898,26,188,21.800000,approval
3646,27,169,0.500000,approval
8311,28,14,6.000000,approval
1243,29,394,2.000000,approval
1242,30,394,2.000000,approval
8566,31,134,100.000000,approval
3522,31,186,14.000000,approval
258,32,394,0.500000,approval
1932,32,394,0.500000,approval
127,32,394,0.500000,approval
71,32,394,1.500000,approval
249,32,394,1.000000,approval
107,32,394,1.000000,approval
102,32,394,1.000000,approval
1956,32,394,0.500000,approval
1933,32,394,1.500000,approval
1929,32,394,3.000000,approval
1950,32,394,3.000000,approval
1941,32,394,1.000000,approval
228,33,394,1.000000,approval
1956,33,394,2.500000,approval
102,33,394,4.000000,approval
1941,33,394,2.500000,approval
167,33,394,2.500000,approval
127,33,394,2.000000,approval
249,33,394,7.000000,approval
1948,33,394,2.000000,approval
1933,33,394,2.000000,approval
69,33,394,3.000000,approval
171,33,394,2.000000,approval
2167,33,394,1.000000,approval
107,33,394,1.000000,approval
71,33,394,1.000000,approval
235,33,394,1.000000,approval
1235,33,394,2.000000,approval
1248,33,394,1.000000,approval
1306,33,394,1.000000,approval
7652,34,394,4.000000,approval
8783,35,452,0.500000,approval
8543,35,451,0.500000,approval
115,36,394,3.000000,approval
235,36,394,3.000000,approval
29,36,394,3.000000,approval
2167,36,394,0.500000,approval
8578,36,394,0.500000,approval
1050,36,394,1.000000,approval
1675,36,394,0.500000,approval
1764,36,394,0.500000,approval
1744,36,394,0.500000,approval
1746,36,394,1.000000,approval
1742,36,394,0.500000,approval
1807,36,394,0.500000,approval
1801,36,394,2.000000,approval
1740,36,394,1.000000,approval
1738,36,394,0.500000,approval
1736,36,394,0.500000,approval
2404,36,394,600.000000,approval
1677,36,394,1.000000,approval
1676,36,394,0.500000,approval
235,36,394,1.000000,approval
326,36,394,0.500000,approval
231,36,394,0.500000,approval
373,36,394,0.500000,approval
1956,36,394,0.500000,approval
317,36,394,1.000000,approval
4501,36,394,30.000000,approval
4511,36,394,30.000000,approval
4514,36,394,30.000000,approval
4504,36,394,30.000000,approval
4505,36,394,30.000000,approval
4636,38,394,10.000000,approval
8828,39,102,28.000000,approval
8828,39,101,28.000000,approval
4753,40,99,52.000000,approval
4754,40,99,52.000000,approval
1062,41,394,0.250000,approval
1065,42,394,0.250000,approval
8286,43,84,618.000000,approval
235,44,394,2.000000,approval
171,44,394,2.000000,approval
282,44,394,0.500000,approval
82,44,394,20.000000,approval
1778,44,394,4.000000,approval
8617,44,394,4.000000,approval
2637,44,394,30.000000,approval
4542,44,394,30.000000,approval
4543,44,394,30.000000,approval
4517,44,394,30.000000,approval
1676,44,394,2.000000,approval
1677,44,394,4.000000,approval
1764,44,394,2.000000,approval
1766,44,394,3.000000,approval
7806,44,394,2.000000,approval
7832,44,394,10.000000,approval
7825,44,394,10.000000,approval
3670,44,394,1.000000,approval
3563,44,394,1.000000,approval
5582,44,394,10.000000,approval
5500,44,394,10.000000,approval
5461,44,394,50.000000,approval
5932,44,394,30.000000,approval
5907,44,394,30.000000,approval
7830,44,394,10.000000,approval
5433,44,394,10.000000,approval
7811,44,394,2.000000,approval
3655,44,394,1.000000,approval
3507,44,394,1.000000,approval
1306,44,394,2.000000,approval
1941,44,394,0.500000,approval
1235,44,394,1.000000,approval
1950,44,394,1.000000,approval
7564,44,394,200.000000,approval
7565,44,394,100.000000,approval
3518,44,394,2.000000,approval
6972,45,233,92.000000,approval
1923,46,213,2.000000,approval
3302,47,173,2.000000,approval
82,48,394,2.000000,approval
438,49,394,4.000000,approval
7812,49,394,2.000000,approval
3563,49,394,2.000000,approval
3670,49,394,2.000000,approval
5582,49,394,20.000000,approval
2481,49,394,20.000000,approval
5554,49,394,20.000000,approval
1648,49,394,4.000000,approval
1537,49,394,2.000000,approval
3759,49,394,5.000000,approval
7804,49,394,4.000000,approval
1654,49,394,2.000000,approval
7827,49,394,50.000000,approval
1653,49,394,2.000000,approval
609,49,394,2.000000,approval
2518,49,394,20.000000,approval
1445,49,394,3.000000,approval
6581,49,394,10.000000,approval
3603,49,394,1.000000,approval
7808,49,394,50.000000,approval
434,49,394,2.000000,approval
436,49,394,2.000000,approval
435,49,394,2.000000,approval
8565,50,394,10.000000,approval
7594,50,394,100.000000,approval
7593,50,394,100.000000,approval
7587,50,394,100.000000,approval
7585,50,394,100.000000,approval
6966,50,394,100.000000,approval
4659,50,394,8.000000,approval
1235,50,394,1.000000,approval
1744,50,394,2.000000,approval
1746,50,394,4.000000,approval
1807,50,394,5.000000,approval
1809,50,394,1.500000,approval
2637,50,394,20.000000,approval
3518,50,394,2.000000,approval
1742,50,394,2.000000,approval
310,50,394,2.000000,approval
308,50,394,1.000000,approval
922,50,394,2.000000,approval
8615,50,394,0.500000,approval
3490,51,34,1.000000,approval
8578,52,394,0.500000,approval
8580,55,261,58.000000,approval
8582,55,261,11.000000,approval
8824,56,162,418.600000,approval
4522,56,162,886.000000,approval
1031,57,309,26.500000,approval
1033,57,309,27.200000,approval
1033,57,309,30.900000,approval
1033,57,309,22.700000,approval
1033,57,309,21.700000,approval
2448,58,356,106.000000,approval
2562,58,356,106.000000,approval
4547,59,160,392.000000,approval
1675,60,394,4.000000,approval
149,60,394,0.500000,approval
102,60,394,2.000000,approval
308,60,394,3.000000,approval
317,60,394,1.000000,approval
416,60,394,2.000000,approval
115,60,394,2.000000,approval
231,60,394,3.000000,approval
1050,60,394,2.000000,approval
822,60,394,3.000000,approval
