request_id,req_stockout_code,req_stockout_status,is_complete_req
309,15072022-309,completed,0
310,15072022-310,completed,1
311,15072022-311,completed,0
312,15072022-312,completed,0
313,15072022-313,completed,0
314,15072022-314,completed,0
315,16072022-315,completed,0
316,16072022-316,completed,0
318,16072022-318,completed,0
319,16072022-319,completed,0
320,16072022-320,completed,0
321,16072022-321,completed,0
322,16072022-322,completed,0
324,16072022-324,completed,0
325,16072022-325,completed,0
326,16072022-326,completed,0
328,16072022-328,completed,0
329,16072022-329,completed,0
331,16072022-331,completed,0
332,16072022-332,completed,0
333,16072022-333,completed,0
334,18072022-334,completed,0
335,18072022-335,completed,0
336,18072022-336,completed,0
337,18072022-337,completed,0
338,18072022-338,completed,0
339,18072022-339,completed,0
346,19072022-346,completed,0
348,19072022-348,completed,0
349,19072022-349,completed,0
350,19072022-350,completed,0
351,19072022-351,completed,0
352,19072022-352,completed,0
354,19072022-354,completed,0
355,19072022-355,completed,0
356,19072022-356,completed,0
357,19072022-357,completed,0
358,19072022-358,completed,0
359,20072022-359,completed,0
360,20072022-360,completed,0
362,20072022-362,completed,0
363,20072022-363,completed,0
364,21072022-364,completed,0
367,21072022-366,completed,0
368,21072022-368,completed,0
369,21072022-369,completed,0
370,21072022-370,completed,0
371,21072022-371,completed,0
372,21072022-372,completed,0
373,21072022-373,completed,0
375,21072022-375,completed,0
376,21072022-376,completed,0
378,22072022-378,completed,0
380,22072022-379,completed,0
382,22072022-382,completed,0
383,22072022-383,completed,0
384,22072022-384,completed,0
386,22072022-386,completed,0
387,22072022-387,completed,0
388,22072022-388,completed,0
392,22072022-392,completed,0
393,22072022-393,completed,0
394,22072022-394,completed,0
395,22072022-395,completed,0
396,22072022-396,completed,0
397,23072022-397,completed,0
399,23072022-399,completed,0
400,23072022-400,completed,0
406,23072022-406,completed,0
407,23072022-407,completed,0
408,23072022-408,completed,0
409,23072022-409,completed,0
411,25072022-411,completed,0
412,25072022-412,completed,0
413,25072022-413,completed,0
414,25072022-414,completed,0
415,25072022-415,completed,0
416,25072022-416,completed,0
417,25072022-417,completed,0
418,25072022-418,completed,0
419,26072022-419,completed,0
420,26072022-420,completed,0
421,26072022-421,completed,0
425,26072022-425,completed,0
426,26072022-426,completed,0
427,26072022-427,completed,0
428,27072022-428,completed,0
429,27072022-429,completed,0
431,27072022-431,completed,0
432,27072022-432,completed,0
433,27072022-433,completed,0
434,27072022-434,completed,0
435,27072022-435,completed,0
437,27072022-437,completed,0
438,27072022-438,completed,0
439,27072022-439,completed,0
443,28072022-443,completed,0
444,28072022-444,completed,0
447,28072022-447,completed,0
448,28072022-448,completed,0
451,28072022-451,completed,0
452,28072022-452,completed,0
453,28072022-453,completed,0
455,28072022-455,completed,0
457,29072022-457,completed,0
458,29072022-458,completed,0
459,29072022-459,completed,0
460,29072022-460,completed,0
462,29072022-461,completed,0
463,29072022-463,completed,0
464,29072022-464,completed,0
465,29072022-465,completed,0
466,29072022-466,completed,0
468,29072022-468,completed,0
469,29072022-469,completed,0
470,29072022-470,completed,0
471,29072022-471,completed,0
472,29072022-472,completed,0
473,30072022-473,completed,0
474,30072022-474,completed,1
475,30072022-475,completed,0
478,30072022-476,completed,0
480,30072022-479,completed,0
482,30072022-482,completed,0
484,30072022-484,completed,0
485,30072022-485,completed,0
487,01082022-487,completed,0
488,01082022-488,completed,1
489,01082022-489,completed,0
490,01082022-490,completed,0
491,01082022-491,completed,0
492,01082022-492,completed,1
493,01082022-493,completed,0
494,01082022-494,completed,0
496,01082022-496,completed,0
497,01082022-497,completed,0
498,01082022-498,completed,0
499,01082022-499,completed,0
501,02082022-501,completed,0
502,02082022-502,completed,0
504,02082022-503,completed,0
505,02082022-505,completed,0
506,02082022-506,completed,0
507,02082022-507,completed,0
509,02082022-509,completed,0
510,02082022-510,completed,1
512,02082022-511,completed,0
513,02082022-513,completed,0
515,03082022-515,completed,0
516,03082022-516,completed,0
517,03082022-517,completed,0
518,03082022-518,completed,0
519,03082022-519,completed,0
520,03082022-520,completed,0
521,03082022-521,completed,0
522,03082022-522,completed,0
523,03082022-523,completed,0
524,04082022-524,completed,0
527,04082022-527,completed,0
529,04082022-528,completed,0
530,04082022-530,completed,0
531,04082022-531,completed,0
535,04082022-535,completed,0
536,04082022-536,completed,0
537,04082022-537,completed,0
540,04082022-540,completed,0
541,04082022-541,completed,0
542,05082022-542,completed,0
544,05082022-544,completed,0
545,05082022-545,completed,0
546,05082022-546,completed,0
547,05082022-547,completed,0
549,05082022-549,completed,0
550,05082022-550,completed,0
551,05082022-551,completed,0
553,05082022-553,completed,0
554,05082022-554,completed,0
559,06082022-559,completed,0
562,06082022-562,completed,0
563,06082022-563,completed,0
564,06082022-564,completed,0
566,06082022-566,completed,0
569,06082022-569,completed,0
570,06082022-570,completed,0
572,06082022-572,completed,0
573,06082022-573,completed,0
575,08082022-575,completed,0
576,08082022-576,completed,0
577,08082022-577,completed,0
578,08082022-578,completed,0
579,08082022-579,completed,0
583,08082022-583,completed,0
585,08082022-585,completed,0
586,08082022-586,completed,0
587,08082022-587,completed,0
588,08082022-588,completed,0
589,08082022-589,completed,0
590,08082022-590,completed,0
591,08082022-591,completed,0
592,08082022-592,completed,0
593,08082022-593,completed,0
594,09082022-594,completed,0
595,09082022-595,completed,0
596,09082022-596,completed,0
597,09082022-597,completed,0
598,09082022-598,completed,0
601,09082022-601,completed,0
602,09082022-602,completed,0
603,09082022-603,completed,0
604,09082022-604,completed,0
605,09082022-605,completed,0
606,09082022-606,completed,0
607,09082022-607,completed,0
610,10082022-610,completed,0
611,10082022-611,completed,0
614,10082022-614,completed,0
615,10082022-615,completed,0
617,10082022-617,completed,0
618,10082022-618,completed,0
619,10082022-619,completed,0
620,10082022-620,completed,0
626,10082022-626,completed,0
627,10082022-627,completed,0
630,11082022-630,completed,0
631,11082022-631,completed,0
634,11082022-634,completed,0
636,11082022-636,completed,0
637,11082022-637,completed,0
638,11082022-638,completed,0
639,11082022-639,completed,0
643,11082022-640,completed,0
645,11082022-645,completed,0
646,11082022-646,completed,0
647,11082022-647,completed,0
648,11082022-648,completed,0
649,11082022-649,completed,0
650,11082022-650,completed,0
651,11082022-651,completed,0
653,11082022-653,completed,0
654,11082022-654,completed,0
656,11082022-656,completed,0
